No,Timestamp,x,y,z,label,rot-x,rot-y,rot-z
46,2024-06-16T08:23:07.754Z,-0.019153614,9.643844604,0.962469101,Stand,0.082869835,0.056223582,-0.181460962
47,2024-06-16T08:23:08.764Z,-0.239420176,9.516951561,0.995987892,Stand,-0.099124044,-0.190787122,0.320554376
48,2024-06-16T08:23:09.869Z,-0.023942016,9.631873131,1.110909581,Stand,-0.06981317,-0.199313939,0.190254211
49,2024-06-16T08:23:10.810Z,-0.529118598,9.572018623,1.175553083,Stand,-0.066082694,-0.094061248,0.091130167
50,2024-06-16T08:23:11.789Z,-0.265756398,9.832986832,0.687135875,Stand,-0.028245023,-0.015721286,0.033041347
51,2024-06-16T08:23:12.813Z,-0.387860686,9.670180321,0.895431459,Stand,0.063151613,0.055157732,-0.188655436
52,2024-06-16T08:23:13.819Z,0.189141929,9.701305389,1.065419793,Stand,0.028777948,0.072211333,-0.263797849
53,2024-06-16T08:23:14.910Z,0.81642276,9.773131371,0.993593693,Stand,-0.026379786,0.013323124,-0.107917301
54,2024-06-16T08:23:15.934Z,0.050278235,9.59835434,1.017535686,Stand,0.023448698,-0.265663087,0.326683015
55,2024-06-16T08:23:16.864Z,-0.560243189,9.552865028,0.828393817,Stand,0.091396637,-0.142024502,0.182260334
56,2024-06-16T08:23:17.861Z,-0.308852017,9.454702377,0.895431459,Stand,0.147886679,-0.006928025,-0.035173047
57,2024-06-16T08:23:18.883Z,0.33279404,9.574412346,1.012747288,Stand,0.191852987,0.020251149,0.058888208
58,2024-06-16T08:23:19.882Z,0.268150598,9.677363396,1.048660398,Stand,0.252606452,0.062885143,-0.015454824
59,2024-06-16T08:23:20.910Z,0.397437483,9.576807022,1.029506683,Stand,0.311761081,0.055690661,0.043966308
60,2024-06-16T08:23:21.901Z,0.51954174,9.62469101,1.055842996,Stand,0.134297088,0.005862175,0.005329249
61,2024-06-16T08:23:22.913Z,0.478840351,9.588777542,0.897825658,Stand,0.193718225,0.148952529,-0.043433387
62,2024-06-16T08:23:23.915Z,0.414196908,9.497797966,1.046266198,Stand,0.213969365,0.040768761,-0.009059724
63,2024-06-16T08:23:24.932Z,0.351947635,9.567230225,1.199495077,Stand,0.124970905,-0.018385911,0.02158346
64,2024-06-16T08:23:25.935Z,-0.641646028,9.220070839,1.546654344,Stand,-0.259001523,-0.225160792,0.13243185
65,2024-06-16T08:23:26.957Z,0.306457818,9.919178009,-0.497993946,Stand,-0.009859112,0.082603365,-0.266462475
66,2024-06-16T08:23:27.964Z,0.833182216,9.378087997,1.685518026,Stand,0.067681469,-0.256336898,0.201179162
